onset	duration	response_time
10.9	n/a	0.218
17.7	n/a	0.172
25.3	n/a	0.215
31.7	n/a	0.175
35.3	n/a	0.246
44.6	n/a	0.220
53.3	n/a	0.190
63.1	n/a	0.175
68.7	n/a	0.221
72.7	n/a	0.199
77.4	n/a	0.192
81.8	n/a	0.260
89.1	n/a	0.193
96.4	n/a	0.194
105.8	n/a	0.179
113.2	n/a	0.225
116.9	n/a	0.359
122.4	n/a	0.200
129.2	n/a	0.246
135.6	n/a	0.162
142.7	n/a	0.218
145.8	n/a	0.221
152.4	n/a	0.188
159.2	n/a	0.227
168.1	n/a	0.379
174.5	n/a	0.228
179.5	n/a	0.269
187.1	n/a	0.158
196.6	n/a	0.185
204.6	n/a	0.352
212.0	n/a	0.186
214.7	n/a	0.284
219.0	n/a	0.221
228.7	n/a	0.189
234.8	n/a	0.239
238.0	n/a	0.308
243.7	n/a	0.204
252.2	n/a	0.196
255.0	n/a	0.283
261.2	n/a	0.214
266.3	n/a	0.210
268.8	n/a	0.272
278.0	n/a	0.201
281.7	n/a	0.260
284.5	n/a	0.239
292.6	n/a	0.229
